"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2025.01.01	00:00:00	94047.11	94118.93	93961.48	94035.18	14340	0	52"
"2025.01.01	04:00:00	94035.12	94229.83	93954.48	94121.01	14400	0	52"
"2025.01.01	08:00:00	94120.95	94163.31	93966.62	94007.10	14400	0	52"
"2025.01.01	12:00:00	94007.04	94076.73	93919.96	93919.96	14400	0	52"
"2025.01.01	16:00:00	93919.90	94478.03	93887.44	94425.95	14401	0	52"
"2025.01.01	20:00:00	94425.89	94582.79	94394.38	94495.55	14340	0	52"
"2025.01.02	00:00:00	94495.49	94612.30	94472.57	94592.23	14400	0	52"
"2025.01.02	04:00:00	94592.17	94744.96	94513.78	94614.62	14400	0	52"
"2025.01.02	08:00:00	94614.56	94744.42	94536.57	94567.08	14400	0	52"
"2025.01.02	12:00:00	94567.02	94752.08	94519.33	94718.34	14400	0	52"
"2025.01.02	16:00:00	94718.28	94778.29	94599.69	94620.57	14400	0	52"
"2025.01.02	20:00:00	94620.51	94657.91	94473.00	94565.33	14400	0	52"
"2025.01.03	00:00:00	94565.27	94770.53	94504.80	94677.35	14400	0	52"
"2025.01.03	04:00:00	94677.29	94803.42	94516.85	94795.62	14400	0	52"
"2025.01.03	08:00:00	94795.56	94964.66	94787.59	94877.34	14400	0	52"
"2025.01.03	12:00:00	94877.28	95263.46	94869.84	95218.48	14400	0	52"
"2025.01.03	16:00:00	95218.42	95297.42	95120.47	95239.89	14400	0	52"
"2025.01.03	20:00:00	95239.83	95533.09	95177.73	95287.52	14400	0	52"
"2025.01.04	00:00:00	95287.46	95314.36	95151.20	95210.66	14400	0	52"
"2025.01.04	04:00:00	95210.60	95224.41	94832.29	94928.84	14400	0	52"
"2025.01.04	08:00:00	94928.78	95073.09	94838.63	95054.53	14400	0	52"
"2025.01.04	12:00:00	95054.47	95062.35	94773.84	94902.77	14400	0	52"
"2025.01.04	16:00:00	94902.71	95093.92	94869.09	94999.50	14401	0	52"
